"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","weather_condition"
"48","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-17",9.62,",,W",NA,"",0,",,W,2400",0,"T,,W",30,"H,,S",34,",,W",24,",,W",320,",,W",320,",,W",21.9,",,W",27.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"49","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-18",10.29,",,W",NA,"",0.31,",,W,2400",3.6,",,W",30,"H,,S",32,",,W",21,",,W",320,",,W",330,",,W",25.9,",,W",33.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","Snow"
"50","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-19",13.42,",,W",NA,"",0,",,W,2400",0,",,W",25,"H,,S",34,",,W",18,",,W",290,",,W",280,",,W",23,",,W",30,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"51","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-20",8.05,",,W",NA,"",0.1,",,W,2400",0.8,",,W",26,"H,,S",31,",,W",21,",,W",290,",,W",250,",,W",15,",,W",19.9,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Snow"
"52","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-21",10.29,",,W",NA,"",0.42,",,W,2400",1.3,",,W",34,"H,,S",48,",,W",26,",,W",280,",,W",280,",,W",23.9,",,W",29.1,",,W",1,",,W",NA,"",NA,"",1,",,W",NA,"",1,",,W",1,",,W",NA,"","Snow"
"53","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-22",8.95,",,W",NA,"",0,",,W,2400",0,",,W",42,"H,,S",46,",,W",36,",,W",350,",,W",340,",,W",16.1,",,W",23,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"54","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-23",6.49,",,W",NA,"",0,",,W,2400",0,",,W",35,"H,,S",38,",,W",30,",,W",320,",,W",110,",,W",12.1,",,W",15,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"55","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-24",13.87,",,W",NA,"",0.48,",,W,2400",0,",,W",39,"H,,S",47,",,W",34,",,W",290,",,W",290,",,W",25.9,",,W",38.9,",,W",1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"56","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-25",23.04,",,W",NA,"",0,"T,,W,2400",0,"T,,W",39,"H,,S",42,",,W",30,",,W",270,",,W",260,",,W",42.9,",,W",55,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"57","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-26",20.13,",,W",NA,"",0,",,W,2400",0,",,W",29,"H,,S",32,",,W",20,",,W",290,",,W",290,",,W",32,",,W",45,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"58","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-27",9.62,",,W",NA,"",0.05,",,W,2400",1.2,",,W",20,"H,,S",26,",,W",13,",,W",310,",,W",280,",,W",21.9,",,W",28,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","Snow"
"59","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-28",8.5,",,W",NA,"",0.15,",,W,2400",2.2,",,W",24,"H,,S",31,",,W",19,",,W",320,",,W",320,",,W",14.1,",,W",19,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Snow"
"60","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-03-01",6.71,",,W",NA,"",0,",,W,2400",0,",,W",29,"H,,S",38,",,W",23,",,W",120,",,W",130,",,W",17,",,W",19.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"61","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-03-02",10.07,",,W",NA,"",0.18,",,W,2400",2,",,W",33,"H,,S",34,",,W",32,",,W",10,",,W",10,",,W",21,",,W",25.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Snow"
"62","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-03-03",8.5,",,W",NA,"",0.09,",,W,2400",0.7,",,W",35,"H,,S",41,",,W",32,",,W",110,",,W",120,",,W",16.1,",,W",18.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Snow"
"63","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-03-04",13.2,",,W",NA,"",0.97,",,W,2400",9.9,",,W",36,"H,,S",40,",,W",25,",,W",270,",,W",290,",,W",23.9,",,W",31.1,",,W",1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","Snow"
"64","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-03-05",10.51,",,W",NA,"",0,",,W,2400",0,",,W",26,"H,,S",31,",,W",19,",,W",290,",,W",290,",,W",21,",,W",25.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
